"ID","UUID","Name","Description","Job_Id","ClientOrderNumber","Budget","State","Type","StartDate","DueDate","InternalID","Jobs_Id"
"SRA","569861fc-afdf-11e0-985e-8b665ea523bc","SRA Internal Activities","Task Codes effective 1st July 2010","0","","","In Progress","Internal","2010-07-01T00:00:00","2030-06-30T00:00:00","289079","0"
"ONC","57cf1470-afdf-11e0-985e-8b665ea523bc","On-call Support","On-call Support","1","","","In Progress","","2010-11-08T00:00:00","2025-06-30T00:00:00","308249","0"
"SADevEcoSys","2dc81a01-a65a-4280-a55f-f838771d8beb","SA IT - Development Ecosystem","","2","","","In Progress","","2012-08-29T00:00:00","2017-06-30T00:00:00","1334132","0"
"DCDD003163","c0f92be9-d8f5-46ef-a027-e044fe0adc1f","Kanwarpreet Singh, Test Analyst, EPS","","3","D19-0147 EXT-078","392932.00","In Progress","Contractor Placement","2017-01-01T00:00:00","2020-12-24T00:00:00","14996369","0"
"DCDD003209","f9ceaa2e-d39a-4359-9aa6-2beec8e5ab04","D19-0147 | Ian Sharrock | Lotus Notes | NT Fleet","68NN2299230 from 15 November 2021 - 13 May 2022","4","D19-0147 68NN2299230","144086.00","In Progress","Contractor Placement","2016-12-05T00:00:00","2022-05-13T00:00:00","15677414","0"
"DCDD003209-1","76d4a967-7b9a-4c0e-af5c-94f5c14aab02","D19-0147 | Ian Sharrock | Lotus Notes Developer | Financial Systems | APRO","68NN2299230 from 15 November 2021 - 13 May 2022","5","D19-0147 68NN2299230","221723.00","In Progress","Contractor Placement","2017-06-01T00:00:00","2022-05-13T00:00:00","18919976","0"
"Inspire","199aa088-8d8f-4f31-a964-e2cbf5b09db8","Inspire","Manages work associated with setting up Inspire as a marketable product","6","","","In Progress","Internal","2018-02-15T00:00:00","2019-02-15T00:00:00","24280228","0"
"CEO003893","8048a023-c7a8-43b3-bc40-c81241781058","Support for Learning With Diversity (INSPIRE)","The partnership agreement between SRA and CEO NT included complementary support of INSPIRE for 4 years","7","","9000.00","In Progress","Fixed Price ","2018-01-01T00:00:00","2022-12-31T00:00:00","24585721","0"
"DHS003918-1","4604c931-a2e5-45bd-9b36-93220b7eb4fd","Andy Hewat - Business Analyst","","8","D229021963, PO 8200033843","335087.00","In Progress","Contractor Placement","2018-04-09T00:00:00","2022-06-30T00:00:00","24999403","0"
"EPSDD003786(2)","69f19603-39f2-4473-88a7-d783ff19c296","NextGen - Support and Maintenance","NextGen Production Hosting, Infrastructure Support and  Software Support and Maintenance 

Godbee, Cath <Cath.Godbee@act.gov.au>","9","2016.28093.210","430068.00","In Progress","Fixed Price ","2018-04-10T00:00:00","2022-09-30T00:00:00","25478363","0"
"OEH004033","0e4e60fd-b947-49ed-a05e-1d2930907558","Heritage Management System Development","This is Phase 1 which includes 4 X Releases. 
Each Release goes into Prod. 
There is an AAM Component. 
Support & Maint on a separate lead and quote. 
This is only BUILD for P1.
NOTE: Budget includes travel approved on a trip by trip basis","10","45415367","2575829.24","In Progress","Fixed Price ","2018-06-29T00:00:00","2023-01-31T00:00:00","27271435","0"
"DHS004150","0957a4a5-b05f-4c5c-bda3-f23bd3b52519","Steve Connell - Systems Analyst ","Shelly Vargas Replacement - Steve Connell","11","D229021963, PO 8200023857","333300.00","In Progress","Contractor Placement","2018-10-04T00:00:00","2020-06-30T00:00:00","29970194","0"
"DoH004220","2f8ef49d-d41a-4fdc-82fb-d8c4f3813ab1","D17-0124- Gregg Marshman - Senior Business Analyst (18-1621) 6 Months","","12","D17-0026  68NN2235126","157198.00","In Progress","Contractor Placement","2018-12-17T00:00:00","2020-07-17T00:00:00","31206008","0"
"DHS004328","f60b1ed6-edca-4b4f-8416-60a9827fc25f","Muhammad Umair Ahmad, Systems Analyst","","13","D229021963, PO 8200023857 ","50000.00","In Progress","","2019-04-16T00:00:00","2020-06-30T00:00:00","33340155","0"
"DCDD004028-1","fb32403c-3012-421c-8521-e6ed0b909e69","Sarah Chong - EPS Budget System Review - Business Analysis ","","14","D19-0147 EXT-008","","In Progress","Contractor Placement","2019-06-17T00:00:00","2019-12-24T00:00:00","36330495","0"
"Shared Services","eb4add0b-6520-4641-ada7-fb2993659800","Shared Services","This Job is for the use of Shared Services staff. It contains all tasks and activites undertaken by Shared Services on behalf of other SRA business units to enable these activities to be costed back to the relevant BU's as accurately as possible. ","15","","","In Progress","Internal","2019-08-12T00:00:00","2019-08-12T00:00:00","37651097","0"
"NK004867","c9f7e6ca-4163-44d0-8a4f-3c6709be397f","NightKey Rebuild","","16","","0.00","In Progress","Fixed Price ","2020-06-24T00:00:00","2021-09-30T00:00:00","45695217","0"
"AISNT004868","764d4eed-5cfe-4c49-85d6-38c25b67d611","Inspire for AISNT","Inspire rolled out across AISNT over a 2 year period.","17","","300000.00","In Progress","Fixed Price ","2020-10-30T00:00:00","2022-10-31T00:00:00","49759145","0"
"DCDD004988","338fa5cf-7518-49dc-be45-24423984e9df","Nathan Watts - EPS-211 ","Detailed Solution Design - 360 Degree Data Hub for the CMSA Program
-Nathan Watts","18","D19-0147 EPS-211","504791.00","In Progress","Time & Material","2020-11-05T00:00:00","2022-09-30T00:00:00","49841772","0"
"LL005073","4c7c14bb-b921-4500-945f-fb2704d0b869","CSMA - 60 Days","CSMA - 60 Days

8 hours x $81.25/hour (ex GST)","19"," jwebbLA0000001","39000.00","In Progress","Time & Material","2020-11-15T00:00:00","2022-07-01T00:00:00","50620258","0"
"ATS","a163156e-d39b-4cb5-8ed6-ac5902a7fa26","acQuire Billing","SRA Principal Consultant effort involved in EnviroSys projects and to support the acQuire EnviroSys product.","20","","","In Progress","Time & Material","2021-01-01T00:00:00","2022-12-31T00:00:00","50844293","0"
"OSBC005090","0d87c54d-262e-4098-800c-3631b802970e","Retail Bonds Azure backups","Perform a six-monthly full Azure backup of Retail Bonds Azure for 2 years","21","","8400.00","In Progress","Fixed Price ","2021-02-01T00:00:00","2023-01-31T00:00:00","51062673","0"
"CA005204","175be2b8-d228-4b18-90f2-f436f63fd800","EARS & PAWS Hosting & Support Contract","Follow on for CA005083
5th July 2021 to 4th July 2022?

 (June 21 - May 22)

Increased the budget from $98,000.00 to $143,000.00 to cover until April 2023

Increased the total number of hours to 727 to reflect the extension.
Created two new tasks (L1 support Jun 2002 - Mar 2023 and L2/L3 Jun 2002 - Mar 2023).  Allocated 130 hrs to L1 and 200 hours to L2/L3.","22","1293867 O1 58500 000","143000.00","In Progress","Fixed Price ","2021-06-01T00:00:00","2023-04-06T00:00:00","52006934","0"
"HNSW003686","df11448b-7eb1-4671-aa61-b84361b5462d","HMS Support","HMS R1, R1.1 and R2 support and maint for 2 years plus a pro-rata period from 1st May 2021 to 30th June 2021 inc AAM","23","45417784","758493.15","In Progress","Fixed Price ","2021-05-01T00:00:00","2023-06-30T00:00:00","52072801","0"
"DoE005234","b719bc6e-2fdd-409d-96cd-ad45a8d4b243","AUCHD Support and Maintenance 21/22","","24","C06529","36000.00","In Progress","Fixed Price ","2021-07-01T00:00:00","2022-07-29T00:00:00","52464590","0"
"NZMCH005256","c01c43ff-f3fe-4dd2-b07d-d7965987f2f9","POD Support and Maintenance - 2021/2022","","25","","10000.00","In Progress","Fixed Price ","2021-06-30T00:00:00","2022-07-29T00:00:00","52524944","0"
"UOA005267","fe995a96-521a-4de8-994a-de000a8d1ddb","Endometriosis Digital Platform Implementation","","26","0000455117","101000.00","In Progress","Fixed Price ","2021-07-28T00:00:00","2022-12-31T00:00:00","52787548","0"
"DCP005300","a040840b-dbb0-4372-a5d0-e5f33642021b","P234 Placement Management Solution","","27","P319C1","800000.00","In Progress","Fixed Price ","2021-08-31T00:00:00","2022-12-31T00:00:00","53077360","0"
"SAHA005301","a88a9edb-ddfe-4133-921e-866cbfb8710b","GIS Application Transition Services","","28","SAHA-1313","81818.18","In Progress","Fixed Price ","2021-09-06T00:00:00","2022-10-31T00:00:00","53146081","0"
